
[ Boneco_VariacoesZ ] 2/2/2016 16:19:46
1;-0.0360205; -0.466225; -1.12278; -0.326145; -0.275932; 1.75384
1;-0.0250812; -0.347527; -1.1228; -0.346588; -0.282435; 1.74626
1;-0.00993943; -0.43322; -1.16284; -0.330224; -0.290954; 1.72787
2;0.00757146; -0.393176; -1.08281; -0.314386; -0.273489; 1.73663
2;-0.221975; -0.438817; -2.22743; -0.654307; -0.692726; 0.578584
2;-0.115501; -0.488723; -2.21889; -0.030978; -0.533269; 1.56845
2;-0.0615704; -0.423564; -2.06264; 0.0220287; -0.589594; 1.65607
2;-0.0475636; -0.478657; -2.26325; 0.0682695; -0.55504; 1.04614
2;-0.091136; -0.472578; -2.27919; -0.141948; -0.50719; 1.46702
2;-0.115194; -0.421002; -2.15046; 0.0518559; -0.62398; 1.71771
2;-0.028018; -0.415154; -2.19828; 0.0235267; -0.54789; 1.81066
2;-0.0938182; -0.529247; -2.13043; 0.0275515; -0.525342; 1.74572
2;-0.068243; -0.52014; -2.19921; -0.193746; -0.568078; 1.48266
3;-0.121064; -0.469401; -2.29105; 0.128904; -0.654783; 0.725375
3;-0.0777266; -0.479317; -3.23119; 0.0269496; -0.841635; 1.28587
3;-0.041806; -0.506833; -3.28674; 0.0632576; -0.793909; 1.56799
3;-0.0284567; -0.583371; -3.25904; -0.0216691; -0.767031; 1.46884
3;-0.0624235; -0.485943; -3.27517; -0.0127286; -0.733781; 1.35544
3;-0.00763321; -0.464798; -3.20303; 0.115442; -0.607605; 1.28772
3;-0.0467107; -0.555065; -3.30349; -0.221545; -0.613137; 0.69021
3;-0.147728; -0.434659; -3.19152; -0.321329; -0.69221; 0.651431
3;-0.0257189; -0.483174; -3.17559; -0.32094; -0.56069; 0.737491
3;-0.132141; -0.443329; -3.33795; -0.232555; -0.600476; -0.069316
4;-0.064976; -0.307404; -3.13478; -0.473999; -0.606194; 0.194739
4;-0.0159965; -0.736081; -4.22905; 0.613677; -0.111086; 1.72138
4;-0.119464; -0.685996; -4.33878; 0.182903; -0.499479; 1.40311
4;-0.079227; -0.649409; -4.21793; 0.257031; -0.402246; 1.77525
4;-0.0490808; -0.74277; -4.37419; 0.218265; -0.407457; 1.69769
4;-0.0561078; -0.69809; -4.30261; 0.234859; -0.422863; 1.43978
4;-0.0353518; -0.598728; -4.25089; 0.220657; -0.442991; 1.21168
4;-0.0999544; -0.563748; -4.25496; 0.167255; -0.466149; 1.25329
4;-0.140032; -0.654769; -4.33107; 0.115682; -0.473767; 1.24526
4;-0.0882983; -0.583155; -4.08846; 0.326789; -0.489415; 2.20119
5;-0.0776606; -0.702919; -4.20979; 0.256751; -0.469486; 1.83055
5;-0.00960279; -0.780247; -5.283; 0.14511; -0.319587; 1.26178
5;-0.0189648; -0.702329; -5.3341; 0.540628; -0.243224; 0.854646
5;0.018786; -0.708468; -5.3221; 0.507643; -0.232625; 0.698846
5;-0.0225928; -0.668522; -5.39366; 0.314294; -0.347207; 0.133273
5;-0.0627127; -0.629621; -5.31429; 0.323137; -0.333634; 0.444334
5;-0.0462384; -0.545703; -5.282; 0.181682; -0.241195; 0.152025
5;-0.0452385; -0.579967; -5.29792; 0.217522; -0.192908; 0.151239
5;-0.0509377; -0.599391; -5.35379; 0.228009; -0.217513; 0.109444
5;0.0544977; -0.616308; -5.40854; 0.51744; -0.111938; -0.0620938
6;-0.0448771; -0.621079; -5.40503; 0.271027; -0.248104; -0.11447
6;-0.0692141; -0.525603; -6.33346; 0.0515369; -0.190885; -0.97523
6;-0.154549; -0.918007; -6.31909; -0.196005; -0.537564; 1.56084
6;-0.180609; -0.975609; -6.33512; -0.34486; -0.6765; 1.59441
6;-0.1404; -1.0124; -6.27116; -0.37031; -0.613022; 2.70961
6;-0.123724; -0.965861; -6.31353; -0.214338; -0.442042; 2.15088
6;-0.149734; -1.12959; -6.43707; -0.228962; -0.402101; 2.27609
6;-0.123285; -1.05316; -6.40523; -0.225557; -0.40313; 2.23427
6;-0.112662; -1.07719; -6.37409; -0.297489; -0.473285; 2.00136
6;-0.162181; -0.897254; -6.2746; -0.358887; -0.583159; 1.83268
7;-0.168725; -0.89597; -6.31491; -0.408459; -0.684715; 1.71053
7;-0.20719; -0.913904; -7.0517; -0.554865; -0.681464; 1.10146
7;-0.167382; -0.954391; -7.17463; -0.424223; -0.582489; 0.133715
7;-0.163225; -0.840547; -7.13504; -0.1762; -0.528394; 0.386446
7;-0.154373; -0.900401; -7.24706; -0.196085; -0.544455; 0.38903
7;-0.0966029; -0.940495; -7.05924; -0.126242; -0.437407; 1.41937
7;-0.136304; -0.921924; -7.08761; -0.214483; -0.221165; 0.924002
